iter	Passed	Remaining
409	4189	6028
410	4200	6020
411	4208	6007
412	4219	5997
413	4231	5989
414	4239	5976
415	4249	5965
416	4256	5951
417	4267	5942
418	4279	5933
419	4287	5921
420	4298	5912
421	4307	5900
422	4319	5891
423	4330	5883
424	4338	5870
425	4348	5859
426	4357	5847
427	4370	5840
428	4380	5830
429	4388	5817
430	4398	5806
431	4406	5793
432	4414	5781
433	4422	5767
434	4431	5755
435	4439	5743
436	4447	5730
437	4458	5720
438	4466	5708
439	4476	5697
440	4483	5683
441	4493	5672
442	4500	5658
443	4510	5647
444	4518	5635
445	4527	5623
446	4535	5611
447	4545	5601
448	4553	5587
449	4562	5576
450	4571	5564
451	4579	5552
452	4588	5540
453	4595	5527
454	4605	5516
455	4612	5502
456	4621	5491
457	4629	5478
458	4638	5466
459	4646	5454
460	4655	5443
461	4663	5430
462	4673	5419
463	4680	5406
464	4689	5395
465	4697	5382
466	4706	5371
467	4713	5358
468	4723	5347
469	4730	5334
470	4739	5323
471	4747	5311
472	4756	5299
473	4764	5287
474	4775	5278
475	4785	5267
476	4793	5255
477	4802	5244
478	4810	5232
479	4820	5222
480	4829	5211
481	4839	5200
482	4847	5188
483	4855	5176
484	4864	5165
485	4872	5153
486	4880	5140
487	4889	5129
488	4898	5118
489	4905	5106
490	4915	5095
491	4922	5082
492	4931	5071
493	4938	5058
494	4948	5048
495	4955	5035
496	4964	5024
497	4973	5013
498	4982	5002
499	4989	4989
500	4998	4978
501	5005	4965
502	5014	4954
503	5021	4942
504	5031	4931
505	5038	4919
506	5047	4908
507	5054	4895
508	5064	4885
509	5072	4873
510	5081	4862
511	5089	4850
512	5098	4840
513	5107	4829
514	5116	4818
515	5123	4806
516	5132	4794
517	5140	4782
518	5148	4771
519	5157	4760
520	5166	4750
521	5176	4740
522	5183	4727
523	5193	4717
524	5201	4705
525	5210	4695
526	5217	4683
527	5226	4672
528	5234	4660
529	5243	4649
530	5251	4637
531	5260	4627
532	5267	4615
533	5277	4605
534	5285	4594
535	5295	4584
536	5303	4572
537	5312	4562
538	5319	4550
539	5329	4539
540	5339	4529
541	5347	4518
542	5356	4508
543	5363	4496
544	5372	4485
545	5380	4473
546	5389	4463
547	5397	4452
548	5406	4441
549	5414	4429
550	5423	4419
551	5431	4407
552	5440	4397
553	5448	4386
554	5457	4375
